x,y,z
-2.376019543959921,-0.42087271603138765,-0.44938378202927093
-2.4777184475345186,-0.41720593727416255,-0.31957592646721544
-2.412497289154567,-0.41769318912608067,-0.46567830900038765
-2.508542682432689,-0.44156797455969365,-0.3496816264794407
-2.500905861344598,-0.40203307605094096,-0.26700816019238016
-2.451375921178359,-0.4021486829134433,-0.4392810516878969
-2.493520857164075,-0.38708861413330586,-0.28292588572996935
-2.4446049883791114,-0.38745405302224434,-0.3925026726298485
-1.6603286009345044,-0.33197842682758627,-1.2636399432813121
-1.6586390137142428,-0.2919920265672693,-1.2657568662031222
-1.7616237031973792,-0.42581228276883487,-1.1388022337612655
-1.7552577796165432,-0.4108602075410135,-1.152437109571774
-1.7453949155265998,-0.4111119843923996,-1.131606618598344
-1.7799600310508037,-0.4106502209008447,-1.1032334716632741
-1.7608693832492326,-0.38081901750201896,-1.138615566105336
-1.8254070912646374,-0.4099290672477176,-1.0934079659745533
-1.8503396965524415,-0.38683627996920733,-1.1347308765409236
-1.779289524430229,-0.37065620733034166,-1.1030675448580032
-1.7566250572704896,-0.36125828584795894,-1.0491765140396683
-1.7404454876668594,-0.3688789763554079,-1.0857332209489496
-1.6914877122181096,-0.36674478939618993,-1.1952996374234994
-1.8206602622453156,-0.3699655069179595,-1.1023734380776058
-1.7972214084525207,-0.37014061305224244,-1.1548789818004646
-1.8661001995182125,-0.3542193309801942,-1.098070465378348
-1.8009209478020467,-0.35720620868026853,-1.2441832183368495
-1.95161953348918,-0.35817324273041784,-1.0048193167255737
-1.9230437469590171,-0.3654794710696545,-1.1672577079311806
-1.9797777610808924,-0.3642414819183326,-1.2363930983573659
-2.0535002324686635,-0.32608986707978027,-1.0942113837933638
-1.9371147227375767,-0.42740824115540854,-0.6476749635573392
-1.920725619815017,-0.4225308024220751,-0.6841798183399734
-2.0104892797647276,-0.44604544582635874,-0.6803677217528669
-2.19262656575524,-0.4151500562108845,-0.761778134056474
-1.935983242815357,-0.35991834325518446,-0.6473949620734449
-1.8704268311251178,-0.34040858832185084,-0.7934143812039818
-2.045500291726866,-0.35537901423557616,-0.6962992838374539
-2.069623726658765,-0.3543846510102133,-0.8384858655302253
-2.1588425999792586,-0.34540415838846306,-0.8345389534138363
-2.093217323395782,-0.5683314827717599,-0.40204325658326856
-2.0696942793505624,-0.5539146557075512,-0.35599909018279524
-2.1246415722557797,-0.5676896482655404,-0.4297624026151188
-2.341232688123439,-0.5636800029344079,-0.5209879753650782
